Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
5,1,2.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
8,1,2.0,0.0,2.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
9,1,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
10,1,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
12,1,5.0,2.0,3.0,8.0,5.0,0.0,3.0,0.0,8.0,0.0
13,2,2.5,0.5,2.0,2.5,0.5,0.0,2.0,0.0,2.5,0.0
15,1,4.0,0.0,4.0,7.0,2.0,1.0,3.0,1.0,5.0,2.0
16,1,2.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,1.0
