Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,3.0,1.0,2.0,6.0,1.0,0.0,5.0,0.0,6.0,0.0
7,1,2.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
9,1,4.0,2.0,2.0,7.0,4.0,1.0,2.0,0.0,6.0,1.0
10,2,3.0,1.5,1.5,4.5,1.5,0.0,2.5,0.5,4.0,0.5
12,1,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
13,1,4.0,1.0,3.0,5.0,3.0,1.0,1.0,0.0,4.0,1.0
14,3,4.333333333333333,3.0,1.3333333333333333,3.0,1.3333333333333333,0.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.3333333333333333
