Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-4,1,5.0,1.0,4.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2,1,2.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
3,1,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
4,1,3.0,1.0,2.0,8.0,3.0,0.0,5.0,0.0,8.0,0.0
5,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
6,1,1.0,1.0,0.0,6.0,3.0,0.0,3.0,0.0,6.0,0.0
7,1,3.0,3.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
9,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
